head,relation,tail
Islamic Rebel (Syria),Use unconventional violence,Hezbollah
François Hollande,Consult,Angela Merkel
Islamic Rebel (Philippines),Use unconventional violence,Military (Philippines)
Middle East,Use conventional military force,Morocco
Police (Uganda),"Arrest, detain, or charge with legal action",Children (Uganda)
Pavlo Klimkin,Consult,Sergey Viktorovich Lavrov
Militant (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria)
France,Retreat or surrender militarily,Afghanistan
Sunil Kumar,Express intent to cooperate,Citizen (India)
North Korea,Reject,South Korea
Police (Indonesia),Investigate,Citizen (Indonesia)
Citizen (India),Accuse,Akali Leader
Protester (Yemen),Demonstrate or rally,Police (Yemen)
Barack Obama,Make statement,Iran
Citizen (Kenya),Criticize or denounce,Government (Kenya)
Association of Southeast Asian Nations,Make pessimistic comment,Vietnam
Uhuru,Express intent to meet or negotiate,The Hague
Ministry (Nigeria),Make statement,Other Authorities / Officials (Nigeria)
China,"Arrest, detain, or charge with legal action",Women (China)
China,Praise or endorse,Middle East
Sergio Massa,Criticize or denounce,Daniel Scioli
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah
Japan,Express intent to cooperate,North Korea
Protester (Ukraine),"Protest violently, riot",Police (Ukraine)
South Korea,Make an appeal or request,China
Cabinet / Council of Ministers / Advisors (United States),Make a visit,China
Sudan,Host a visit,Iraq
Citizen (India),Make an appeal or request,Medical Personnel (India)
Benjamin Netanyahu,Accuse,Hamas
Thief (India),Physically assault,Citizen (India)
Citizen (Turkey),"Protest violently, riot",Military (Turkey)
Iran,Consult,Catherine Ashton
China,Express intent to meet or negotiate,Vietnam
Interim Government (Thailand),Make an appeal or request,Citizen (Thailand)
Ministry (Nigeria),Express intent to cooperate,Citizen (Nigeria)
Abdullah Abdullah,Express intent to cooperate,Ashraf Ghani Ahmadzai
Sue-Ellen Kovack,Make a visit,Sierra Leone
Angola,Make statement,Congo
Barack Obama,Consult,North Atlantic Treaty Organization
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton
Sergey Viktorovich Lavrov,Make statement,Iran
Doctors Without Borders,Make a visit,Sudan
Militia (Kenya),Use unconventional violence,Police (Kenya)
Angola,Host a visit,Ministry (United States)
Edgars Rinkevics,Praise or endorse,Foreign Affairs (Norway)
North Korea,Express intent to meet or negotiate,South Korea
China,Make an appeal or request,Angola
John Kerry,Engage in negotiation,Benjamin Netanyahu
Royal Administration (Saudi Arabia),Host a visit,Middle East
Police (Kenya),"Abduct, hijack, or take hostage",Member of Legislative (Govt) (Kenya)
Benjamin Netanyahu,Express intent to cooperate,Yair Lapid
Benjamin Netanyahu,Accuse,Iran
John Kerry,"Appeal for change in institutions, regime",Iraq
Andrej Kiska,Consult,Milos Zeman
Men (India),Criticize or denounce,Court Judge (India)
Xi Jinping,Host a visit,Head of Government (South Korea)
Alexis Tsipras,Praise or endorse,Serbia
The Hague,Host a visit,William Ruto
Xi Jinping,Express intent to cooperate,Head of Government (South Korea)
Willem-Alexander,Consult,Teshome Togo
Protester (Bosnia and Herzegovina),"Protest violently, riot",Police (Bosnia and Herzegovina)
Police (Australia),Investigate,Citizen (Australia)
David Shear,Make a visit,Japan
Media Personnel (International),Accuse,Iran
Abdul Aziz,Host a visit,China
Ministry (Angola),Consult,Governor (Angola)
North Korea,"Reject proposal to meet, discuss, or negotiate",South Korea
Barack Obama,Express intent to meet or negotiate,Iran
Tajikistan,Consult,Afghanistan
Citizen (Namibia),Make an appeal or request,Election Commission (Namibia)
Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia
South Korea,Express intent to provide humanitarian aid,North Korea
Iraq,Express intent to cooperate,Iran
Federica Mogherini,Consult,Sergey Viktorovich Lavrov
Police (Philippines),Use conventional military force,Criminal (Philippines)
Massoud Barzani,Demand,Nuri al-Maliki
Police (Ukraine),Use conventional military force,Protester (Ukraine)
Citizen (Nigeria),Make optimistic comment,Head of Government (Nigeria)
Thief (India),Use unconventional violence,Citizen (India)
Governor (Angola),Make an appeal or request,Government (Angola)
Government (Syria),Use conventional military force,Militant (Syria)
Student (Thailand),Criticize or denounce,Thailand
Head of Government (China),Consult,Xi Jinping
Tajikistan,Consult,Kazakhstan
Chuck Hagel,Mobilize or increase armed forces,Iraq
China,Engage in diplomatic cooperation,Cape Verde
Peter Szijjarto,Discuss by telephone,Sergey Viktorovich Lavrov
Labor Union (Nigeria),Criticize or denounce,Other Authorities / Officials (Nigeria)
Xi Jinping,Consult,Kim Jong-Un
Bangladesh Nationalist Party,Make an appeal or request,Citizen (Bangladesh)
Ashraf Ghani Ahmadzai,Praise or endorse,China
Le Hong Anh,Engage in symbolic act,Laos
South Korea,Host a visit,Barack Obama
Middle East,Make a visit,Afghanistan
Benjamin Netanyahu,Make statement,Hamas
Mohammad Javad Zarif,Consult,Sergey Viktorovich Lavrov
William Ruto,Praise or endorse,Police (Kenya)
Pope Francis,Make a visit,South Korea
Benjamin Netanyahu,Make statement,Angela Merkel
Military (Central African Republic),Use conventional military force,Armed Band (Central African Republic)
Foreign Affairs (Mongolia),Express intent to meet or negotiate,China
Xi Jinping,Make optimistic comment,China
Barack Obama,Make statement,Xi Jinping
Citizen (Uganda),Use unconventional violence,Police (Uganda)
Kim Jong-Un,Make an appeal or request,Citizen (North Korea)
China,Criticize or denounce,Japan
Citizen (Belgium),Make an appeal or request,European Parliament
South Korea,Express intent to meet or negotiate,North Korea
John Kerry,Make a visit,Morocco
Head of Government (India),Express intent to meet or negotiate,Citizen (India)
Head of Government (Nigeria),Make statement,Ministry (Nigeria)
Bukola Saraki,Accuse,Citizen (Nigeria)
Japan,Demand,North Korea
Qatar,Express intent to cooperate militarily,Iran
UN Security Council,"Appeal for change in institutions, regime",Iraq
Hamas,Accuse,Benjamin Netanyahu
Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria)
Citizen (Australia),Bring lawsuit against,Lawyer/Attorney (Australia)
Student (Hong Kong),Consult,Carrie Lam
China,Consult,Majid Takht Ravanchi
China,Cooperate economically,France
Japan,Express intent to provide economic aid,Myanmar
Police (South Africa),Use conventional military force,Men (South Africa)
Xi Jinping,Consult,China
Japan,Meet at a 'third' location,China
Bala Abdulkadir Mohammed,Make an appeal or request,Citizen (Nigeria)
Other Authorities / Officials (Egypt),Accuse,Hamas
South Africa,Accuse,Foreign Affairs (Rwanda)
Japan,Engage in symbolic act,Royal Administration (Japan)
Representatives (Iraq),Consult,Massoud Barzani
Citizen (India),Make an appeal or request,Employee (India)
Liu Yandong,Make statement,China
Citizen (India),Express intent to cooperate,Court Judge (India)
China,Engage in diplomatic cooperation,New Zealand
North Atlantic Treaty Organization,Make a visit,Curacao
Police (Ukraine),Make statement,Protester (Ukraine)
Employee (Kenya),Make statement,Police (Kenya)
China,Consider policy option,Japan
Miroslav Lajcak,Express intent to meet or negotiate,Iran
Justin Trudeau,Make statement,Liberals (Canada)
Other Authorities / Officials (Turkey),Provide humanitarian aid,Iraq
Police (Canada),Mobilize or increase police power,Canada
Lin Chia-lung,Make statement,Jason C. Hu
Protester (Pakistan),Demonstrate for leadership change,Head of Government (Pakistan)
Aggrey Tisa Sabuni,Make a visit,Sudan
Citizen (Kenya),Criticize or denounce,Uhuru
Military Personnel (Philippines),Make statement,Police (Philippines)
Xi Jinping,Praise or endorse,Abdel Fattah Al-Sisi
China,Use tactics of violent repression,News Editor (China)
Jakaya Mrisho Kikwete,Express intent to cooperate,Citizen (Tanzania)
Iran,Consult,UN Security Council
Japan,Express intent to cooperate,China
Human Rights Commission (Nigeria),Criticize or denounce,Citizen (Nigeria)
Member of Parliament (India),"Defy norms, law",Citizen (India)
Iran,Engage in diplomatic cooperation,Iraq
Jens Stoltenberg,Make statement,North Atlantic Treaty Organization
Malta,Host a visit,Kamalesh Sharma
Police (Ukraine),Criticize or denounce,Protester (Ukraine)
Japan,Make an appeal or request,North Korea
City Mayor (Philippines),Make statement,Employee (Philippines)
Mohammad Javad Zarif,Express intent to meet or negotiate,John Kerry
John Kerry,Express intent to meet or negotiate,Mohammad Javad Zarif
South Korea,Express intent to meet or negotiate,Japan
French Communist Party,Make a visit,Religion (France)
Arnaud Montebourg,Make statement,Education Ministry (France)
Citizen (Thailand),Make an appeal or request,Gen Prayut Chan-o-cha
Oman,Consult,Iran
China,Cooperate economically,Iran
Other Authorities / Officials (Mexico),Investigate,Military Personnel - Special (Mexico)
Member of Parliament (India),Sexually assault,Employee (India)
Member of the Judiciary (South Africa),Ease administrative sanctions,Men (South Africa)
Envoy (United Kingdom),Make a visit,South Sudan
Sergey Viktorovich Lavrov,Discuss by telephone,Pavlo Klimkin
Court Judge (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria)
Lawyer/Attorney (United Kingdom),Demand,Citizen (United Kingdom)
Iran,Express intent to meet or negotiate,Philippines
Citizen (North Korea),Reject,Japan
Park Won-soon,Make an appeal or request,Citizen (South Korea)
Citizen (Namibia),Accuse,Police (Namibia)
Madagascar,Host a visit,Julie Bishop
Laos,Consult,Cambodia
South Korea,Consult,Japan
Iraq,Host a visit,Mohammad Javad Zarif
Armenia,Express intent to engage in diplomatic cooperation (such as policy support),Iran
Labor and Employment Ministry (Nigeria),Make statement,Labor Union (Nigeria)
United Arab Emirates,Express intent to cooperate,Ethiopia
Foreign Affairs (Latvia),Express intent to meet or negotiate,Iran
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Sergey Viktorovich Lavrov
Citizen (Nigeria),Accuse,Government (Nigeria)
Women (Rwanda),Use unconventional violence,Police (Rwanda)
Citizen (Hungary),Demand,Viktor Orban
Government (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria)
Reserve Personnel (Kyrgyzstan),"Arrest, detain, or charge with legal action",Citizen (Kyrgyzstan)
Military (Mexico),Mobilize or increase armed forces,Mexico
Tajikistan,Express intent to meet or negotiate,Islam Karimov
Xi Jinping,Meet at a 'third' location,China
France,Engage in negotiation,Iran
Foreign Affairs (Russia),Engage in negotiation,Foreign Affairs (Syria)
China,Express intent to meet or negotiate,Xi Jinping
Barack Obama,Accuse,Benjamin Netanyahu
Foreign Affairs (Middle East),Consult,John Kerry
Citizen (India),Use unconventional violence,Aam Aadmi Party
Cambodia,Host a visit,Veera Somkwamkid
Boko Haram,fight with small arms and light weapons,Cameroon
Malaysia,Host a visit,Barack Obama
Foreign Affairs (South Korea),Make statement,South Korea
Iraq,Make statement,Militant (Iraq)
Iran,Host a visit,Catherine Ashton
Bangladesh Nationalist Party,Conduct strike or boycott,Awami (People's) League
Court Judge (Nigeria),Accuse,Citizen (Nigeria)
Ministry (Malaysia),Make an appeal or request,Citizen (Malaysia)
Milos Zeman,Make a visit,China
Police (Australia),Make an appeal or request,Criminal (Australia)
Court Judge (India),Make an appeal or request,Citizen (India)
John Kerry,Express intent to meet or negotiate,Middle East
Citizen (Australia),Use unconventional violence,Campbell Newman
Member of Legislative (Govt) (Iran),Make statement,Iran
Sheikh Hasina Wajed,Consult,Fumio Kishida
Military (Lebanon),Make statement,Detainee (Lebanon)
Citizen (Nigeria),Bring lawsuit against,Government (Nigeria)
Philippines,Bring lawsuit against,China
South Korea,Make statement,North Korea
Militant (Boko Haram),Make an appeal or request,Citizen (Nigeria)
Militia (Iraq),Occupy territory,Iraq
Akhilesh Yadav,Make an appeal or request,Citizen (India)
Government (Pakistan),Use conventional military force,Tehrik-i-Taliban Pakistan
Lawyer/Attorney (Australia),Make statement,Member of Parliament (Australia)
Benjamin Netanyahu,Make an appeal or request,John Kerry
Ethiopia,Host a visit,John Kerry
South Korea,Engage in diplomatic cooperation,North Korea
Leopoldo López,Demand,Citizen (Venezuela)
Citizen (India),Criticize or denounce,Ruling Party (India)
Lapo Pistelli,Host a visit,Majid Takht Ravanchi
South Sudan,Host a visit,Office of the United Nations High Commissioner for Human Rights
France,Consult,Iran
China,Host a visit,Ashraf Ghani Ahmadzai
Party Member (Iraq),Make statement,Iraq
Government (Nigeria),Make statement,Education (Nigeria)
China,Demonstrate military or police power,Japan
Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines)
Ministry (Iran),Make statement,Iran
Uhuru Muigai Kenyatta,Engage in negotiation,Police (Kenya)
Armed Gang (Afghanistan),Carry out suicide bombing,Military Personnel - Special (Afghanistan)
France,Host a visit,Abdel Fattah Al-Sisi
Military Personnel - Special (Afghanistan),Increase military alert status,Afghanistan
Hezbollah,Make statement,Armed Rebel (Syria)
South Africa,Engage in diplomatic cooperation,Iran
Government (Georgia),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Georgia)
Barack Obama,Express intent to cooperate economically,Iran
Militant (Syria),Accuse,Government (Syria)
Cristina Fernández de Kirchner,Praise or endorse,Legislature (Argentina)
Court Judge (Nigeria),Investigate,Murtala Nyako
Fiji,Host a visit,Xi Jinping
Vietnam,Consult,Myanmar
Police (Namibia),Torture,Citizen (Namibia)
Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria)
Police (Philippines),Investigate,Men (Philippines)
China,Praise or endorse,Cabinet / Council of Ministers / Advisors (United States)
Other Authorities / Officials (Nigeria),Criticize or denounce,Citizen (Nigeria)
Myanmar,Praise or endorse,China
Mexico,Host a visit,Japan Self-Defense Forces
Massoud Barzani,Make statement,Iraq
North Korea,Criticize or denounce,UN Security Council
John Kerry,Make statement,Angola
Mohammad Nahavandian,Make a visit,Iran
South Korea,Engage in diplomatic cooperation,China
Barack Obama,Host a visit,Benjamin Netanyahu
Other Authorities / Officials (Romania),Express intent to cooperate,International Monetary Fund
Al-Shabaab,Use conventional military force,Militant (Somalia)
Citizen (India),Criticize or denounce,Thief (India)
Government (Kenya),Make an appeal or request,Tenants (Kenya)
Barack Obama,Make an appeal or request,Abdullah Abdullah
Catherine Ashton,Make statement,Iran
South Korea,Accuse,North Korea
"Children (Palestinian Territory, Occupied)",Use unconventional violence,Police (Israel)
Japan,Express intent to cooperate,Foreign Affairs (United States)
North Atlantic Treaty Organization,Make pessimistic comment,Military (Russia)
Catherine Ashton,Engage in negotiation,Wendy Sherman
Other Authorities / Officials (Namibia),Reject,Citizen (Namibia)
Boko Haram,Use conventional military force,Indigenous People (Nigeria)
China,Provide military aid,Japan
Guinea,Engage in diplomatic cooperation,Angola
Japan,Engage in negotiation,China
Member of Parliament (India),Investigate,Citizen (India)
